expense,count
to,39
didi,26
the,23
at,18
from,14
hotel,13
lunch,12
subway,12
shopping,12
and,10
airport,9
dinner,9
beijing,7
temple,7
little,6
of,6
s,6
museum,6
taxi,6
datong,5
train,5
entrance,5
flight,4
palace,4
summer,4
market,4
pearl,4
ticket,4
trip,3
car,3
supermarket,3
water,3
round,3
tower,3
station,3
norbulingka,3
renata,3
coffee,3
for,3
home,3
in,3
hanging,3
heaven,3
chicken,3
tissues,2
tip,2
small,2
massage,2
bus,2
bokar,2
breakfast,2
migas,2
wrap,2
suzhou,2
boat,2
city,2
forbidden,2
return,2
hat,2
2,2
yuyuan,2
souvenir,2
miniso,2
pudong,2
shanghai,2
package,2
zini,2
house,2
carol,2
earrings,2
juice,2
cream,2
restaurant,2
necklace,2
ice,2
369,2
weidu,2
qianmen,2
dumpling,2
tibet,1
pot,1
tour,1
hot,1
surprise,1
lhasa,1
princess,1
wejcheng,1
show,1
gift,1
bells,1
earring,1
paulo,1
tiananmen,1
by,1
lara,1
3,1
cable,1
shuttle,1
tickets,1
park,1
going,1
baimen,1
saigon,1
decks,1
toy,1
são,1
magnet,1
food,1
river,1
scarves,1
sunyat,1
sen,1
university,1
kaifeng,1
guangzhou,1
cruise,1
incense,1
bookstore,1
latte,1
m,1
stand,1
taobao,1
meituan,1
silk,1
neighborhood,1
fried,1
beer,1
hut,1
pizza,1
lhakdon,1
old,1
cups,1
kunga,1
samsara,1
viewpoint,1
jokar,1
protection,1
bags,1
chocolates,1
holder,1
inácio,1
socks,1
cards,1
apple,1
fruits,1
iced,1
beijingnan,1
fans,1
large,1
tea,1
bucket,1
tourism,1
waters,1
guide,1
audio,1
cookies,1
almond,1
spanish,1
bag,1
premium,1
flavored,1
juices,1
bookmark,1
two,1
grottoes,1
yungang,1
souvenirs,1
breakfasts,1
yunjinhui,1
da,1
notebooks,1
tong,1
kfc,1
international,1
hantin,1
hair,1
cone,1
something,1
headphones,1
beijingbei,1
umbrella,1
peanut,1
coke,1
haul,1
uniqlo,1
next,1
was,1
art,1
closed,1
map,1
yuan,1
mountain,1
place,1
clip,1
skewer,1
hongqiao,1
fruit,1
starbucks,1
oriental,1
captain,1
homeinn,1
milk,1
espresso,1
postcard,1
garden,1
administrator,1
humble,1
lemon,1
foot,1
